Name,address,Square Feet,Date Built,Unnamed: 4,latitude,longitude
Central Library,"10 W 14th Ave Pkwy
Denver, CO 80204",540000,1995,,39.737432,-104.988258
Athmar Park Branch Library,"1055 S Tejon Street
Denver, CO 80223",6960,1971,,39.697128,-105.013559
Ross-Barnum Branch Library,"3570 W First Avenue
Denver, CO 80219",10500,1973,,39.717917,-105.034559
Bear Valley Branch Library,"5171 W Dartmouth Ave
Denver, CO 80236",11410,1971,,39.656539,-105.051462
Blair-Caldwell African American Research Library,"2401 Welton Street
Denver, CO 80205",23765,2003,,39.75248,-104.981516
Bob Ragland Branch Library,"1900 35th Street, Suite A
Denver, CO 80216",7000,2022,,39.771057,-104.980187
Ross-Broadway Branch Library,"33 E Bayaud Avenue
Denver, CO 80209",4500,1951,,39.714979,-104.986638
Ross-Cherry Creek Branch Library,"305 Milwaukee Street
Denver CO, 80206",17808,1993,,39.721252,-104.952551
Decker Branch Library,"1501 S Logan Street
Denver CO, 80210 ",4932,1913,,39.689192,-104.983085
Eugene Field Branch Library,"810 S University
Denver CO, 80209",8923,1970,,39.701728,-104.958914
Ford-Warren Branch Library,"2825 High Street 
Denver CO, 80205",10573,1975,,39.757397,-104.965083
Green Valley Ranch Branch Library,"4856 B Andes Ct.
Denver CO, 80249",25602,2010,,39.783778,-104.772211
Hadley Branch Library,"1890 S Grove Street
Denver CO, 80219",12962,1964,,39.682553,-105.025891
Hampden Branch Library,"9755 E Girard Avenue
Denver CO, 80231",11560,1975,,39.654623,-104.874769
"John ""Thunderbird Man"" Emhoolah, Jr. Branch Library","675 Santa Fe Drive
Denver CO, 80204",4640,1918,,39.727073,-104.998884
Montbello Branch Library,"12955 Albrook Drive
Denver CO, 80239",11443,1975,,39.780241,-104.840492
Park Hill Branch Library,"4705 Montview Blvd 
Denver CO, 80207",10260,1964,,39.747781,-104.932522
Pauline Robinson Branch Library,"5575 E 33rd Avenue
Denver CO, 80207",5285,1995,,39.764071,-104.922785
"Rodolfo ""Corky"" Gonzales Branch Library","1498 Irving Street
Denver CO, 80204",26973,2015,,39.740091,-105.029545
Sam Gary Branch Library,"2961 North Roslyn Street
Denver CO, 80238",28490,2012,,39.758903,-104.900841
Schlessman Family Branch Library,"100 Poplar Street 
Denver CO, 80220",14884,2002,,39.718676,-104.904238
Smiley Branch Library,"4501 W 46th Avenue
Denver CO, 80212",4726,1918,,39.780568,-105.045095
Ross-University Hill Branch Library,"4310 E Amherst Avenue 802022
Denver CO, 80222",21243,1994,,39.665175,-104.937352
Valdez-Perry Branch Library,"4690 Vine Street 
Denver CO, 80216",4883,1966,,39.781623,-104.962088
Virginia Village Branch Library,"1500 S Dahlia Street
Denver CO, 80222",11524,1993,,39.689016,-104.931112
Westwood Branch Library,"1000 S. Lowell Blvd
Denver CO, 80219",1073,2008,,39.698284,-105.033992
Woodbury Branch Library,"3265 Federal Blvd
Denver CO, 80211",10023,1913,,39.763143,-105.025755
